SA2_CODE21,SA2_NAME21,tree_count,tree_sum,tree_pc,uhi_mean
213041463,Caroline Springs,102333,16186,15.81698963,6.816574839
213041571,Brookfield,157312,16844,10.70738405,8.668019228
213041572,Cobblebank - Strathtulloh,290752,29812,10.25341184,9.654222957
213041573,Eynesbury - Exford,1023045,89090,8.708316838,10.62128861
213041574,Fraser Rise - Plumpton,863878,36181,4.188207131,9.476181523
213041575,Hillside,114978,16434,14.29316913,7.491947911
213041576,Kurunjang - Toolern Vale,1775847,474119,26.69818965,7.295150951
213041577,Melton,145048,16413,11.3155645,8.236578111
213041578,Melton South - Weir Views,162184,12619,7.78066887,8.336906696
213051361,Hoppers Crossing - North,160910,21522,13.37517867,6.788238033
213051362,Hoppers Crossing - South,103377,9863,9.540806949,6.444617788
213051363,Laverton,327859,15828,4.827685072,6.979057724
213051368,Werribee - South,1683271,95445,5.670209966,5.225041658
213051464,Point Cook - East,280857,12510,4.454224036,5.921806329
213051466,Point Cook - South,139006,6983,5.023524164,7.47420136
213051467,Werribee - East,114394,18605,16.26396489,6.70115986
213051468,Werribee - West,1883645,67987,3.609331907,10.40075971
213051579,Manor Lakes - Quandong,1061823,15082,1.42038739,11.56100178
213051580,Point Cook - North East,81890,6663,8.136524606,6.438129086
213051581,Point Cook - North West,43331,2719,6.274953267,6.884081515
213051582,Tarneit (West) - Mount Cottrell,540889,28501,5.269288153,9.70830364
213051583,Tarneit - Central,117327,6471,5.515354522,7.821508472
213051584,Tarneit - North,211369,8363,3.956587768,8.644224035
213051585,Tarneit - South,46152,3154,6.833940024,7.548155946
213051586,Truganina - North,258168,7845,3.038718974,6.520764826
213051587,Truganina - South East,62906,1163,1.848790258,7.546462096
213051588,Truganina - South West,79266,5122,6.461786895,7.599869958
213051589,Wyndham Vale - North,755227,25878,3.426519444,10.37554082
213051590,Wyndham Vale - South,73115,7078,9.680640088,8.271800787
214011370,Carrum Downs,300337,45532,15.16030326,6.341919533
214011371,Frankston,172060,64798,37.66011856,5.213691642
214011372,Frankston North,195893,82836,42.2863502,5.285500644
214011373,Frankston South,215572,139716,64.81175663,4.70709913
214011374,Langwarrin,556894,331509,59.52820465,4.933579114
214011375,Seaford (Vic.),183895,39566,21.51553876,5.450860059
214011376,Skye - Sandhurst,293076,53346,18.20210457,7.389571656
214021377,Dromana,668569,254766,38.10616406,3.96545139
214021378,Flinders,4267749,1760694,41.25580019,3.82806631
214021379,Hastings - Somers,1615847,648771,40.15052168,4.625720141
214021381,Mount Eliza,343713,224558,65.33299584,4.559029722
214021382,Mount Martha,447881,217240,48.50395529,4.413385945
214021383,Point Nepean,997459,430877,43.19746476,2.330737064
214021384,Rosebud - McCrae,353205,138854,39.31258051,2.51761888
214021385,Somerville,1738893,526655,30.28679741,6.695499351
214021591,Mornington - East,217644,51565,23.69236,6.261033192
214021592,Mornington - West,94887,30384,32.02124632,4.393437361
